bid,lat,lon,btype,h3_grid_res_7,h3_grid_res_8,h3_grid_res_9,h3_grid_res_10
21793,51.308787,12.267551,196,871f1a8daffffff,881f1a8de7fffff,891f1a8de6fffff,8a1f1a8de6dffff
21576,51.337173,12.372828,196,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb4fffff,8a1f1a8cb4c7fff
21658,51.365618,12.391347,196,871f1a8c9ffffff,881f1a8c91fffff,891f1a8c913ffff,8a1f1a8c9137fff
23467,51.337329,12.378322,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
23515,51.342169,12.380834,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0fffff,8a1f1a8cb08ffff
20270,51.337547,12.378457,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
22017,51.337418,12.378452,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
21897,51.337347,12.378292,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
300048,51.342036,12.363222,150,871f1a8cbffffff,881f1a8ca3fffff,891f1a8ca27ffff,8a1f1a8ca267fff
20284,51.334458,12.33041,71,871f1a8d9ffffff,881f1a8d99fffff,891f1a8d997ffff,8a1f1a8d996ffff
23372,51.332853,12.373758,71,871f1a164ffffff,881f1a164bfffff,891f1a164a3ffff,8a1f1a164a27fff
23244,51.340373,12.373866,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb47ffff,8a1f1a8cb55ffff
23268,51.315884,12.368571,71,871f1a164ffffff,881f1a1647fffff,891f1a1646fffff,8a1f1a1646d7fff
23425,51.324916,12.390389,71,871f1a165ffffff,881f1a1655fffff,891f1a16557ffff,8a1f1a165557fff
20412,51.337524,12.378887,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
23473,51.342156,12.373566,196,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb57ffff,8a1f1a8cb547fff
300219,51.332747,12.373659,150,871f1a164ffffff,881f1a164bfffff,891f1a164a3ffff,8a1f1a164a27fff
23383,51.337867,12.412782,71,871f1ab96ffffff,881f1ab967fffff,891f1a165b7ffff,8a1f1a165b6ffff
39034,51.332333,12.368297,71,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164ba7fff
300047,51.315951,12.370166,150,871f1a160ffffff,881f1a1647fffff,891f1a1646fffff,8a1f1a1646dffff
23366,51.336916,12.387096,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb67ffff,8a1f1a8cb657fff
23155,51.363756,12.358218,196,871f1a8c8ffffff,881f1a8c81fffff,891f1a8c813ffff,8a1f1a8c8107fff
23017,51.337244,12.378376,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
23161,51.3298,12.380814,71,871f1a164ffffff,881f1a165dfffff,891f1a165dbffff,8a1f1a165d87fff
300369,51.332236,12.369273,150,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164ba7fff
22086,51.342618,12.378648,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb087fff
23578,51.344396,12.375226,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb1bffff,8a1f1a8cb187fff
23133,51.338338,12.388317,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb67ffff,8a1f1a8cb647fff
23253,51.338213,12.405386,71,871f1a165ffffff,881f1ab965fffff,891f1ab964bffff,8a1f1a165b27fff
23399,51.33828,12.374959,196,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb47ffff,8a1f1a8cb4effff
300032,51.337044,12.378084,150,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
21654,51.332693,12.36722,196,871f1a164ffffff,881f1a1649fffff,891f1a16487ffff,8a1f1a16485ffff
20023,51.343644,12.384727,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0fffff,8a1f1a8cb0effff
23465,51.32488,12.337057,196,871f1a8d9ffffff,881f1a8d91fffff,891f1a8d907ffff,8a1f1a8d906ffff
23251,51.337142,12.378522,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
23318,51.360831,12.386422,71,871f1a8c9ffffff,881f1a8c95fffff,891f1a8c957ffff,8a1f1a8c9577fff
21562,51.360849,12.386391,196,871f1a8c9ffffff,881f1a8c95fffff,891f1a8c953ffff,8a1f1a8c9577fff
